district,square,price
Выборгский район,32.1,7600000
Невский район,32.1,6850000
Невский район,32.2,5450000
Выборгский район,32.3,9275000
Выборгский район,32.5,6150000
Невский район,32.5,6500000
Пушкинский район,32.7,5199000
Выборгский район,33.0,5400000
Невский район,33.0,6950000
Невский район,33.0,5300000
Невский район,33.0,5700000
Выборгский район,33.2,6300000
Невский район,33.4,6550000
Пушкинский район,33.4,6149000
Выборгский район,33.5,7200000
Пушкинский район,33.9,5600000
Выборгский район,34.0,6500000
Невский район,34.1,8500000
Невский район,34.2,7000000
Пушкинский район,34.2,8200000
Выборгский район,34.3,7200000
Невский район,34.3,7200000
Выборгский район,34.5,8100000
Выборгский район,34.78,7853000
Невский район,34.9,9000000
Пушкинский район,34.9,4600000
Выборгский район,35.0,6900000
Выборгский район,35.0,7000000
Невский район,35.0,7100000
Пушкинский район,35.0,5850000
Пушкинский район,35.0,7000000
Пушкинский район,35.0,5990000
Невский район,35.1,6860000
Невский район,35.2,6200000
Невский район,35.4,8850000
Пушкинский район,35.5,5880000
Выборгский район,35.6,8000000
Невский район,35.6,8550000
Пушкинский район,35.7,5600000
Невский район,35.8,7520000
Невский район,35.8,7300000
Невский район,35.9,8000000
Пушкинский район,36.0,5400000
Невский район,36.1,7675000
Пушкинский район,36.1,6300000
Выборгский район,36.3,8500000
Невский район,36.3,6120000
Невский район,36.6,7950000
Невский район,36.7,8900000
Невский район,36.8,7599000
Невский район,36.8,7500000
Выборгский район,36.9,8700000
Невский район,36.9,8200000
Выборгский район,37.0,11100000
Выборгский район,37.0,8590000
Выборгский район,37.0,8500000
Выборгский район,37.0,10700000
Невский район,37.0,6000000
Невский район,37.3,11200000
Пушкинский район,37.4,6500000
Пушкинский район,37.6,5600000
Невский район,37.7,9700000
Выборгский район,37.8,6950000
Невский район,37.8,8800000
Выборгский район,38.0,6400000
Выборгский район,38.0,6850000
Выборгский район,38.0,6200000
Выборгский район,38.0,10000000
Выборгский район,38.05,10890000
Пушкинский район,38.1,14890000
Пушкинский район,38.2,6400000
Пушкинский район,38.3,6399000
Выборгский район,38.4,9500000
Выборгский район,38.5,12300000
Пушкинский район,38.5,5958000
Невский район,38.59,7500000
Выборгский район,38.6,7100000
Невский район,38.6,9200000
Выборгский район,38.8,7400000
Невский район,39.0,7500000
Невский район,39.0,7100000
Выборгский район,39.25,6700000
Невский район,39.3,7430000
Невский район,39.3,9000000
Невский район,39.8,7600000
Невский район,39.9,9700000
Выборгский район,40.0,6990000
Пушкинский район,40.0,5300000
Невский район,40.1,7799000
Выборгский район,40.2,7000000
Пушкинский район,40.4,6400000
Выборгский район,40.5,11000000
Пушкинский район,40.6,6320000
Пушкинский район,40.6,8600000
Выборгский район,40.7,6700000
Пушкинский район,40.71,5720000
Выборгский район,40.8,7150000
Пушкинский район,40.8,5540000
Выборгский район,41.0,7900000
Выборгский район,41.0,8200000
Выборгский район,41.0,11900000
Выборгский район,41.0,11500000
Выборгский район,41.0,11100000
Пушкинский район,41.0,5190000
Пушкинский район,41.0,6350000
Пушкинский район,41.0,5950000
Пушкинский район,41.1,6339000
Пушкинский район,41.1,7299000
Невский район,41.2,9900000
Невский район,41.3,6300000
Пушкинский район,41.3,5750000
Выборгский район,41.5,9300000
Выборгский район,41.58,6700000
Невский район,41.6,7560000
Пушкинский район,41.6,7800000
Выборгский район,41.7,6800000
Выборгский район,42.0,7500000
Невский район,42.0,6900000
Пушкинский район,42.0,6400000
Пушкинский район,42.0,6220000
Пушкинский район,42.0,7850000
Невский район,42.2,10300000
Пушкинский район,42.2,6500000
Пушкинский район,42.2,6380000
Невский район,42.3,8300000
Невский район,42.3,8950000
Невский район,42.3,7800000
Пушкинский район,42.3,5480000
Невский район,42.4,7300000
Пушкинский район,42.8,9299000
Выборгский район,42.9,8500000
Невский район,42.9,9300000
Пушкинский район,42.9,6510000
Выборгский район,43.0,10800000
Пушкинский район,43.0,8289000
Пушкинский район,43.0,6449000
Выборгский район,43.15,8500000
Пушкинский район,43.4,6800000
Пушкинский район,43.9,6500000
Пушкинский район,43.9,6475000
Невский район,44.0,8500000
Выборгский район,44.2,6475000
Выборгский район,44.3,8200000
Пушкинский район,44.3,9000000
Невский район,44.4,10000000
Невский район,44.5,6800000
Невский район,44.7,8200000
Невский район,44.9,7000000
Невский район,45.0,7050000
Невский район,45.0,7100000
Пушкинский район,45.0,7000000
Пушкинский район,45.0,7199000
Выборгский район,45.1,6700000
Невский район,45.2,8350000
Пушкинский район,45.5,8300000
Невский район,45.6,6700000
Выборгский район,45.7,6300000
Выборгский район,45.8,7498000
Невский район,45.8,5700000
Невский район,45.8,6650000
Невский район,45.8,7370000
Выборгский район,45.9,7500000
Невский район,46.0,8850000
Невский район,46.1,7980000
Пушкинский район,46.1,6500000
Невский район,46.2,6700000
Пушкинский район,46.4,7580000
Пушкинский район,46.4,7390000
Выборгский район,46.6,10490000
Выборгский район,46.8,7600000
Выборгский район,46.9,7199000
Выборгский район,47.0,6810000
Выборгский район,47.0,21500000
Пушкинский район,47.0,9200000
Пушкинский район,47.0,9900000
Пушкинский район,47.0,5000000
Невский район,47.1,9400000
Невский район,47.8,9500000
Выборгский район,47.92,11185000
Невский район,48.0,8000000
Невский район,48.0,8000000
Невский район,48.0,8000000
Невский район,48.0,7850000
Невский район,48.0,8000000
Невский район,48.0,8000000
Невский район,49.0,6990000
Пушкинский район,49.2,7400000
Выборгский район,49.4,8500000
Выборгский район,49.4,10300000
Пушкинский район,49.5,8100000
Выборгский район,49.7,9500000
Пушкинский район,49.7,8950000
Выборгский район,49.9,3500000
Выборгский район,50.0,12000000
Выборгский район,50.0,8800000
Невский район,50.4,8700000
Пушкинский район,50.4,5800000
Выборгский район,50.8,12300000
Выборгский район,51.0,10800000
Невский район,51.0,14500000
Выборгский район,51.5,7990000
Невский район,51.5,9000000
Выборгский район,51.8,8500000
Пушкинский район,52.0,6800000
Пушкинский район,52.2,8190000
Пушкинский район,52.5,7990000
Невский район,52.6,8700000
Невский район,52.8,4200000
Пушкинский район,52.8,7199000
Пушкинский район,53.0,8800000
Пушкинский район,53.2,6800000
Выборгский район,53.5,7300000
Выборгский район,53.8,8999000
Невский район,53.8,7800000
Невский район,53.9,10600000
Невский район,54.0,7550000
Выборгский район,54.03,10350000
Выборгский район,54.4,8150000
Пушкинский район,54.5,7000000
Невский район,54.8,9100000
Выборгский район,54.9,9480000
Пушкинский район,54.9,10000000
Невский район,55.0,9490000
Пушкинский район,55.0,7200000
Пушкинский район,55.1,7235000
Пушкинский район,55.2,9750000
Выборгский район,55.4,8100000
Пушкинский район,55.5,6500000
Выборгский район,56.0,11000000
Невский район,56.0,8999000
Пушкинский район,56.0,10000000
Пушкинский район,56.0,7500000
Пушкинский район,56.1,7950000
Выборгский район,56.2,9200000
Невский район,56.2,9700000
Выборгский район,56.3,13599000
Пушкинский район,56.7,8990000
Пушкинский район,56.7,7999000
Пушкинский район,56.8,8000000
Пушкинский район,56.9,7700000
Выборгский район,57.0,8900000
Выборгский район,57.0,15950000
Пушкинский район,57.4,8300000
Невский район,57.5,12500000
Невский район,57.5,10000000
Невский район,57.5,11300000
Невский район,57.5,13950000
Выборгский район,58.1,8250000
Выборгский район,58.3,8990000
Пушкинский район,58.7,8800000
Невский район,59.0,9850000
Выборгский район,59.1,8455000
Выборгский район,59.2,11300000
Невский район,59.3,8199000
Пушкинский район,59.6,7649000
Выборгский район,59.68,17390000
Невский район,59.8,11450000
Выборгский район,60.0,15500000
Невский район,60.0,8850000
Пушкинский район,60.2,7800000
Пушкинский район,60.2,8050000
Выборгский район,60.6,12990000
Невский район,60.6,4650000
Выборгский район,61.6,14890000
Выборгский район,62.0,8000000
Невский район,62.3,9200000
Пушкинский район,62.3,8790000
Пушкинский район,62.48,9200000
Выборгский район,62.5,9900000
Выборгский район,62.5,11000000
Пушкинский район,62.7,7300000
Выборгский район,63.2,10500000
Невский район,63.3,11750000
Пушкинский район,63.7,14970000
Невский район,63.9,10000000
Невский район,64.3,17350000
Выборгский район,64.4,10800000
Пушкинский район,64.5,8249000
Выборгский район,65.0,12770000
Невский район,65.0,8690000
Выборгский район,65.3,11500000
Пушкинский район,65.3,9220000
Пушкинский район,65.8,13500000
Невский район,66.0,16000000
Невский район,66.1,12300000
Невский район,66.2,13400000
Пушкинский район,67.0,12700000
Выборгский район,67.75,10798000
Пушкинский район,68.0,8100000
Выборгский район,68.24,17890000
Выборгский район,69.5,12550000
Выборгский район,69.87,23026000
Невский район,69.9,15800000
Выборгский район,70.0,14300000
Невский район,70.0,18430000
Невский район,70.2,13900000
Пушкинский район,70.2,10130000
Невский район,71.0,13400000
Выборгский район,71.1,13800000
Невский район,71.2,12900000
Пушкинский район,71.5,7290000
Пушкинский район,71.5,11988000
Выборгский район,72.0,11500000
Пушкинский район,72.2,9500000
Пушкинский район,72.3,9890000
Невский район,73.1,19700000
Выборгский район,73.8,11000000
Выборгский район,73.8,20700000
Пушкинский район,74.0,14500000
Выборгский район,75.2,20700000
Выборгский район,76.1,15500000
Невский район,76.3,23550000
Невский район,77.1,11200000
Выборгский район,77.4,22800000
Невский район,78.0,10500000
Пушкинский район,78.1,9300000
Пушкинский район,78.3,9700000
Пушкинский район,78.4,10990000
Пушкинский район,78.8,11300000
Выборгский район,79.6,13299000
Пушкинский район,79.7,8000000
Выборгский район,80.5,11900000
Пушкинский район,80.54,12000000
Невский район,80.9,35500000
Невский район,81.4,15500000
Пушкинский район,81.9,11350000
Выборгский район,82.0,11600000
Выборгский район,82.7,15150000
Пушкинский район,82.7,24900000
Невский район,83.1,15990000
Пушкинский район,84.0,9890000
Выборгский район,86.1,9500000
Выборгский район,86.5,24650000
Невский район,88.2,19348000
Выборгский район,89.3,15150000
Невский район,90.4,22100000
Невский район,90.4,19900000
Пушкинский район,91.1,11990000
Выборгский район,93.0,12410000
Пушкинский район,93.0,14299000
Невский район,93.1,26000000
Выборгский район,94.0,23500000
Выборгский район,94.67,31294000
Выборгский район,95.0,22000000
Пушкинский район,98.0,18200000
Выборгский район,98.8,20949000
Выборгский район,102.2,28000000
Пушкинский район,104.0,15300000
Пушкинский район,109.2,15399000
Пушкинский район,110.0,18499000
Выборгский район,118.5,27500000
Пушкинский район,118.7,13950000
Пушкинский район,132.7,27204000
Пушкинский район,134.16,29700000
Пушкинский район,135.2,27716000
Выборгский район,154.0,69900000
